YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2021,4,,,,,,,,,,,,2025-09-23,2025-09-23
2021,5,,,,,,,,,,,,2025-09-23,2025-09-23
2021,6,,,,,,,,,,,,2025-09-23,2025-09-23
2021,7,,,,,,,,,,,,2025-09-23,2025-09-23
2021,8,,,,,,,,,,,,2025-09-23,2025-09-23
2021,9,,,,,,,,,,,,2025-09-23,2025-09-23
2021,10,,,,,,,,,,,,2025-09-23,2025-09-23
2021,11,,,,,,,,,,,,2025-09-23,2025-09-23
2021,12,,,,,,,,,,,,2025-09-23,2025-09-23
2022,1,,,,,,,,,,,,2025-09-23,2025-09-23
2022,2,,,,,,,,,,,,2025-09-23,2025-09-23
2022,3,,,,,,,,,,,,2025-09-23,2025-09-23
2022,4,,,,,,,,,,,,2025-09-23,2025-09-23
2022,5,,,,,,,,,,,,2025-09-23,2025-09-23
2022,6,,,,,,,,,,,,2025-09-23,2025-09-23
2022,7,,,,,,,,,,,,2025-09-23,2025-09-23
2022,7,12934043,263837620,New,,LH,active,BELGRANO,-58.45617,-34.5558939,"-34.5558939, -58.45617",CABA,2025-09-23,2025-09-23
2022,7,12934212,325235348,New,,LH,active,SAAVEDRA,-58.4698487,-34.5467674,"-34.5467674, -58.4698487",CABA,2025-09-23,2025-09-23
2022,7,30011566,166524936,New,,LH,active,VILLA URQUIZA,-58.4770215,-34.5693248,"-34.5693248, -58.4770215",CABA,2025-09-23,2025-09-23
2022,7,30046471,437547701,New,,CA,active,BELGRANO,-58.4542411,-34.5552099,"-34.5552099, -58.4542411",CABA,2025-09-23,2025-09-23
2022,7,30062626,405974860,New,,LT,active,BELGRANO,-58.4586754,-34.5578317,"-34.5578317, -58.4586754",CABA,2025-09-23,2025-09-23
2022,7,30063813,416517593,New,,LH,active,BELGRANO,-58.46024430000001,-34.5657293,"-34.5657293, -58.46024430000001",CABA,2025-09-23,2025-09-23
2022,7,30068017,241749986,New,,LT,active,COLEGIALES,-58.44752359999999,-34.572056,"-34.572056, -58.44752359999999",CABA,2025-09-23,2025-09-23
2022,7,30071852,59181700,New,,CA,active,NUÑEZ,-58.47191299999999,-34.543634,"-34.543634, -58.47191299999999",CABA,2025-09-23,2025-09-23
2022,7,30089951,452928066,New,,LH,active,VILLA URQUIZA,-58.47751640000001,-34.5730917,"-34.5730917, -58.47751640000001",CABA,2025-09-23,2025-09-23
2022,7,30271531,420340998,New,,LH,active,BELGRANO,-58.4575664,-34.5624327,"-34.5624327, -58.4575664",CABA,2025-09-23,2025-09-23
2022,7,30293302,415154775,New,,LH,active,BELGRANO,-58.4464511,-34.5575469,"-34.5575469, -58.4464511",CABA,2025-09-23,2025-09-23
2022,7,30368505,388856680,New,,LT,active,BELGRANO,-58.4573091,-34.5530148,"-34.5530148, -58.4573091",CABA,2025-09-23,2025-09-23
2022,7,30386879,491462419,New,,CA,active,NUÑEZ,-58.46172079999999,-34.5449216,"-34.5449216, -58.46172079999999",CABA,2025-09-23,2025-09-23
2022,7,30449465,280401558,New,,LT,active,BELGRANO,-58.45763229999999,-34.5674542,"-34.5674542, -58.45763229999999",CABA,2025-09-23,2025-09-23
2022,7,30654135,472462362,New,,LT,active,BELGRANO,-58.4705111,-34.5690034,"-34.5690034, -58.4705111",CABA,2025-09-23,2025-09-23
2022,7,30995178,221062963,New,,LT,active,VILLA ORTUZAR,-58.46391089999999,-34.5786549,"-34.5786549, -58.46391089999999",CABA,2025-09-23,2025-09-23
2022,7,31035673,345083056,New,,LT,active,BELGRANO,-58.462222,-34.5571555,"-34.5571555, -58.462222",CABA,2025-09-23,2025-09-23
2022,7,31157729,270208554,New,,LH,active,PALERMO,-58.44671609999999,-34.5687106,"-34.5687106, -58.44671609999999",CABA,2025-09-23,2025-09-23
2022,7,31213459,268632605,New,,LH,active,VILLA URQUIZA,-58.4849822,-34.5753585,"-34.5753585, -58.4849822",CABA,2025-09-23,2025-09-23
2022,7,31437474,441165577,New,,LH,active,BELGRANO,-58.4446769,-34.5647829,"-34.5647829, -58.4446769",CABA,2025-09-23,2025-09-23
2022,7,31514593,180049694,New,,LT,active,BELGRANO,-58.45673559999999,-34.5607572,"-34.5607572, -58.45673559999999",CABA,2025-09-23,2025-09-23
2022,7,31610109,459543678,New,,LH,active,BELGRANO,-58.4366365,-34.554053,"-34.554053, -58.4366365",CABA,2025-09-23,2025-09-23
2022,7,31683645,468482702,New,,LH,active,PALERMO,-58.4288792,-34.5877233,"-34.5877233, -58.4288792",CABA,2025-09-23,2025-09-23
2022,7,31764765,194813043,New,,LH,active,BELGRANO,-58.4630141,-34.5602305,"-34.5602305, -58.4630141",CABA,2025-09-23,2025-09-23
2022,7,31804629,445868945,New,,LH,active,BELGRANO,-58.45512060000001,-34.5676175,"-34.5676175, -58.45512060000001",CABA,2025-09-23,2025-09-23
2022,7,32066261,170051229,New,,LT,active,BELGRANO,-58.46214149999999,-34.55838290000001,"-34.55838290000001, -58.46214149999999",CABA,2025-09-23,2025-09-23
2022,7,32205419,474455486,New,,LH,active,NUÑEZ,-58.4555248,-34.5503336,"-34.5503336, -58.4555248",CABA,2025-09-23,2025-09-23
2022,7,32332780,603350811,New,,LH,active,NUÑEZ,-58.46021579999999,-34.5453292,"-34.5453292, -58.46021579999999",CABA,2025-09-23,2025-09-23
2022,7,32370442,604560696,New,,CA,active,SAAVEDRA,-58.48325029999999,-34.5573124,"-34.5573124, -58.48325029999999",CABA,2025-09-23,2025-09-23
2022,7,32555399,613851221,New,,LT,active,SAAVEDRA,-58.48448399999999,-34.554994,"-34.554994, -58.48448399999999",CABA,2025-09-23,2025-09-23
2022,7,33153928,92744574,New,,LT,active,SAAVEDRA,-58.48001679999999,-34.5428125,"-34.5428125, -58.48001679999999",CABA,2025-09-23,2025-09-23
2022,7,33371824,334227263,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
