created_date,status,segmento,comision_actual,logistic_type,store_type,barrio,category,cooking_time,tiene_otra_app,brand_id,store_id
2025-09-16T22:45:34.792Z,active,Microstores,42.0,3P,New brand,BOULOGNE SUR MER,Sándwiches,20 min,No,11060.0,107643
2025-09-16T22:10:44.806Z,active,Microstores,42.0,3P,New brand,NUEVA CORDOBA,China,25 min,Sí,13049.0,100827
2025-09-16T21:24:41.804Z,active,Microstores,42.0,3P,New brand,RAMOS MEJÍA,Empanadas,10 min,No,11689.0,107223
2025-09-16T21:09:19.795Z,active,Microstores,42.0,3P,New brand,LA PLATA,Desayunos y meriendas,30 min,No,11955.0,102438
2025-09-16T21:08:58.784Z,active,Microstores,42.0,3P,New brand,MONTE CASTRO,Sándwiches,5 min,No,14502.0,112782
2025-09-16T21:05:51.819Z,active,Microstores,42.0,3P,New brand,PALERMO,Desayunos y meriendas,20 min,No,10363.0,100781
2025-09-16T21:02:31.797Z,active,Microstores,42.0,3P,Brand expansion,LA PLATA,Desayunos y meriendas,10 min,No,11702.0,115280
2025-09-16T20:52:58.782Z,active,Picked Locals,36.0,3P,Brand expansion,AVELLANEDA,Sushi,25 min,Sí,12045.0,114331
2025-09-16T20:47:17.810Z,active,Microstores,42.0,3P,New brand,SAN MARTÍN CENTRO,Sándwiches,20 min,Sí,12003.0,111208
2025-09-16T20:34:46.804Z,active,Microstores,42.0,3P,New brand,COLON,Sándwiches,15 min,Sí,12428.0,112594
2025-09-16T20:26:36.785Z,active,Picked Locals,36.0,3P,Brand expansion,VILLA MAIPÚ,Helado,10 min,Sí,12446.0,105158
2025-09-16T19:55:02.789Z,active,Microstores,42.0,3P,New brand,LA PLATA,Ensaladas,20 min,No,13246.0,110790
2025-09-16T19:48:53.793Z,active,Picked Locals,39.0,3P,New brand,NUEVA CORDOBA,Pizza,20 min,Sí,12151.0,101830
2025-09-16T19:42:33.771Z,active,Microstores,42.0,3P,Brand expansion,RAMOS MEJÍA,Helado,5 min,No,10547.0,101753
2025-09-16T19:42:11.804Z,active,Microstores,42.0,3P,Brand expansion,VILLA URQUIZA,Parrilla,30 min,Sí,11964.0,105055
2025-09-16T19:36:07.781Z,active,Microstores,42.0,3P,Brand expansion,LINIERS,Helado,5 min,No,10547.0,101016
2025-09-16T19:28:13.805Z,active,Microstores,42.0,3P,New brand,COLEGIALES,Parrilla,30 min,Sí,11964.0,102306
2025-09-16T18:47:19.822Z,active,Microstores,42.0,3P,New brand,CENTRO,,10 min,Sí,13979.0,107747
2025-09-16T17:52:18.788Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,Hamburguesa,15 min,Sí,10006.0,109642
2025-09-16T17:35:53.001Z,active,Microstores,42.0,3P,New brand,RAMOS MEJÍA,Internacional,20 min,Sí,14738.0,112437
2025-09-16T17:25:04.901Z,active,Microstores,42.0,3P,New brand,CENTRO,,5 min,Sí,12170.0,106293
2025-09-16T16:47:28.806Z,active,Microstores,42.0,3P,New brand,CENTRO,Hamburguesa,15 min,Sí,12108.0,110664
2025-09-16T16:36:59.777Z,active,Microstores,42.0,3P,New brand,LA PLATA,Sándwiches,25 min,No,14010.0,103418
2025-09-16T16:28:11.810Z,active,Microstores,42.0,3P,Brand expansion,BELGRANO,Árabe,5 min,No,13582.0,109912
2025-09-16T16:17:56.801Z,active,Microstores,42.0,3P,New brand,MARIANO BALCARCE,Hamburguesa,20 min,Sí,10651.0,108975
2025-09-16T15:56:40.781Z,active,Picked Locals,33.0,3P,New brand,GENERAL PAZ,Desayunos y meriendas,15 min,Sí,11321.0,113162
